judul,penulis,isbn,status
Laskar Pelangi,Andrea Hirata,978-979-3062-79-7,Tersedia
Negeri 5 Menara,Ahmad Fuadi,978-979-1227-94-5,Dipinjam
Ayat-Ayat Cinta,Habiburrahman Shirazy,978-602-8997-25-5,Tersedia
Perahu Kertas,Dee Lestari,978-979-1227-89-1,Tersedia
Dilan 1990,Pidi Baiq,978-602-7870-01-6,Dipinjam
Bidadari Bening,Habiburrahman Shirazy,978-602-441-063-7,Tersedia
Hafalan Shalat,Helvy Tiana Rosa,978-602-8997-32-3,Tersedia
Ronggeng Dukuh Paruk,Ahmad Tohari,978-979-4074-07-2,Dipinjam
Surat Kecil untuk Tuhan,Agnes Davonar,978-602-1234-56-7,Tersedia
Cinta Brontosaurus,Raditya Dika,978-979-1102-10-5,Dipinjam
Koala Kumal,Raditya Dika,978-602-1234-58-1,Tersedia
Sang Pemimpi,Andrea Hirata,978-979-1227-92-1,Dipinjam
Edensor,Andrea Hirata,978-979-1227-93-8,Tersedia
Ksatria dan Putri,Dee Lestari,978-979-3062-10-1,Tersedia
9 Summers 10 Autumns,Iwan Setyawan,978-602-8730-59-9,Dipinjam
Garis Waktu,Fiersa Besari,978-602-1234-78-9,Tersedia
Selamat Tinggal,Fiersa Besari,978-602-1234-79-6,Dipinjam
Orang-Orang Biasa,Andrea Hirata,978-602-4246-51-5,Tersedia
Bulan Terbelah,Hanum Rais,978-602-2911-11-1,Tersedia
99 Cahaya di Langit Eropa,Hanum Rais,978-602-9782-41-7,Dipinjam
